Control - поиграл в полную версию. Обзор.,http://www.youtube.com/watch?v=Xbtoy7zTniY
Как делают игры в Remedy - экскурсия по студии,http://www.youtube.com/watch?v=l6gHR9mm4xk
"Учат в школе - Информатика #3 / Асса, Cluster, Бейсовский",http://www.youtube.com/watch?v=Ev_WZD4oAsU
Почта России кидает на деньги - Покупки в США и подарки от подписчиков / июль 2019,http://www.youtube.com/watch?v=LBWTrhBMKek
Лютый софт из 90-х - Expert Will для MS-DOS,http://www.youtube.com/watch?v=HfRqZrFAVZo
Турецкая игровая пресса - как у нас в 90-е,http://www.youtube.com/watch?v=BzBy-dOdhLw
"Учат в школе - Информатика #2 / Newbilius, Русяев, DF",http://www.youtube.com/watch?v=jb443U2GrWA
Единственное физическое издание ATOM RPG,http://www.youtube.com/watch?v=OCwhdbx0SaQ
Как появился эмулятор Playstation 1,http://www.youtube.com/watch?v=5hD5Vf7vDNI
World of Tanks для аутистов - Girls und Panzer,http://www.youtube.com/watch?v=zGNVpI1rEJ0
The Sinking City - Честный обзор,http://www.youtube.com/watch?v=HYKCa98a35Q
"Учат в школе - Информатика #1 / Бачило, Major, ClubShit",http://www.youtube.com/watch?v=EPYl4yT8Ys0
Самая дорогая игра в моей коллекции. Была...,http://www.youtube.com/watch?v=3SOXOp5T_hY
Кинаман отказался комментировать Battletoads 2019,http://www.youtube.com/watch?v=CY5EGBHqYWU
Как появился эмулятор Денди,http://www.youtube.com/watch?v=_aWf3Pga4vo
Сделано пиратами: Playstation 1 в России,http://www.youtube.com/watch?v=1qEOGzE_-6M
Почему меняют названия игр?,http://www.youtube.com/watch?v=sVbY9i0lehs
"Покупки в США, посылки от подписчиков - Май 2019",http://www.youtube.com/watch?v=vZH7-0yYXKQ
Warcraft Adventures - он вам не Reforged,http://www.youtube.com/watch?v=jRZzbhU7x6U
Aliexpress и PSP в 2019-м,http://www.youtube.com/watch?v=w3fGzMUJtRE
Кем я только не работал - последняя серия,http://www.youtube.com/watch?v=DbKsjEstpiQ
История пинболла и самые необычные экспонаты музея в Москве,http://www.youtube.com/watch?v=26SCpkL_NE4
Жадная Nintendo и Commodore 64,http://www.youtube.com/watch?v=Q98IXTsgSyQ
Честный обзор Days Gone / Жизнь После,http://www.youtube.com/watch?v=zggzabkVnck
"Пиратство и игры на ipad - Cydia, Installous, Grand Chase",http://www.youtube.com/watch?v=XLLKaoCgMA8
